pathway	N367M	N515M	TD181207731	TD181207732	TD181207733	TD181207736	TD181207739	X010M	X254	X275	X283	X294	X314	X321	X341	X353	X360	X361	X385	X391	X392	X431	D22BD538_461	D22BD540_524	D22BD542_455	D22BD543_285	D22BD546_302	D22BD547_260	D22BD548_308	D22BD550_238	D22BD552_244	D22BD554_316	D22BD555_248	D22BH739_268	D22BH741_298	D22BH742_330	D22BH744_370	D22BH746_377	D22BH747_383	D22BH748_389	D22BH750_427	D22BH752_439_2	D22BH753_454_1	D22BH757_476	D22BH759_488	D22BH760_493	D22BH761_494	D22BH762_497	D22BH763_505	D22BH766_533	D22BD536_469	CRS403	CRS440	CRS511	CRS513	CRS514	CRS517	CRS532	CRS534	CRS539	CRS540	CRS548	CRS549	CRS550	CRS552	CRS553	CRS555	CRS556	CRS557	CRS559	CRS560	CRS568	CRS573	CRS579	CRS584	CRS592	CRS606	CRS608	CRS612	CRS618	CRS619	CRS626	CRS629	CRS631	CRS636	CRS652
Homologous recombination	513710.45	1052311.16	907983.5	1092714.33	922619.59	820335.88	1091207.38	1043353.69	768468.13	923555	605219.43	980215.07	786842.72	1086440.54	843884.38	739422.35	1013738.47	624903.37	963158.5	1081651.42	957746.05	640881.83	158439.09	436494.2	335519.47	541135.17	320633.57	547421.11	943876.56	279461.42	278996.67	1004482.45	268742.59	304597.26	390651.39	315338.81	292599.56	336770.42	715601.26	684229.67	151119.93	427042.58	223456.08	99189.73	141951.96	170100.55	363332.18	242173.07	230627.4	223027.72	18578.02	2077477.53	227427.19	205787.39	888300.65	822236.88	773417.12	140020.71	58008.36	78404.12	412010.19	77559.17	284521.39	1558280.14	594195.08	1482937.15	268921.83	196909.04	50224.26	142580.16	1026574.2	423155.53	128056.16	250524.64	178854.69	107369.42	346558.65	286462.97	763775.16	149985.15	70716.2	212341.4	373633.24	62446.41	19162.07	758500.53
Human cytomegalovirus infection	1134.5	12481.42	1949.73	26417.74	40388.7	2037	4278	5232.5	14494.1	19957.91	17868.32	41787.39	25419.86	29921.74	46098	2119.41	29860	12453.85	17794.01	21117.5	7243.07	14924.34	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1133.09	689.5	437	731.25	6099.26	627.5	189	484	543	51	897	803	2198.41	4318.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
Human immunodeficiency virus 1 infection	1134.5	12477.42	1949.73	26410.74	40379.7	2037	4278	5232.5	14446.1	19918.91	17868.32	41787.39	25406.86	29921.74	46098	2119.41	29854	12453.85	17787.01	21117.5	7243.07	14902.34	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1133.09	689.5	437	731.25	6099.26	627.5	189	484	543	51	897	803	2198.41	4318.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
Human papillomavirus infection	0	0	2.5	0	25	0	0	0	0	24	0	0	1.33	0	0	0	0	0	84	0	120.67	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	16	0	0	0	0	13	0	0	0	12	0	0	4	0	140	0	0	0	76	0	0	14	0	0	0	0	0	0	0	0	0
Human T-cell leukemia virus 1 infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huntington disease	100813.98	175167.93	146492.15	252023.07	269340.93	94066.77	28175.78	127201.79	178320.69	214378.45	149319.11	258480.66	155508.6	251444.89	211667.7	71435.09	243263.3	121223.53	204750.82	215593.44	184111.13	156817.14	51930.13	92761.2	65129.61	118437.39	57205.24	107951.3	182700.47	11471.32	63464.33	191672.6	57445.32	64426.08	72455.28	61595.66	55038.8	69229.97	112897.58	118879.61	37467.53	93112.06	49199.74	23174.88	31917.15	37097.79	85203.91	44939.5	51838.15	42406.6	2254.42	417214.24	68207.5	61682.56	155707.31	190902.19	151664	33943.15	15466.64	16446.38	103055.69	19834.39	62138.71	312875.86	113627.44	292761.11	57383.88	39244.09	11659.04	41033.31	205135.77	92807.11	26428.35	67078.36	59642.41	23706.96	101186.3	73443.58	149487.83	36869.84	15768.96	35158.55	116945.69	14165.73	5722.85	146507.48
Hypertrophic cardiomyopathy	16.75	102.25	53	51.75	75.25	202.5	57.75	19.5	358	184.25	190.5	202	84	162.5	95.25	123.5	372	167.5	599.75	74.75	378.5	315	0	0	0	66.6	0	0	0	0	0	0	0	2	12.5	0	0	42.75	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	4	46	0	8	0	0	0	6	5	0	0	0	6	0	0	2	4	70	0	0	0	64.5	0	3	7	0	0	0	0	0	0	0	0	0
IL-17 signaling pathway	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indole alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inflammatory mediator regulation of TRP channels	0	4	0	7	0	0	0	0	48	39	5	4	13	0	1.5	0	6	0	9	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Influenza A	1134.5	12530.42	1973.73	28075.06	40459.7	2057	4278	5264.5	14570.1	19897.91	18371.64	42036.39	25483.86	30233.74	46146	2139.41	30112	12486.85	18048.01	21307.5	7406.07	14949.34	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1141.09	689.5	437	731.25	6297.26	627.5	189	484	543	51	897	803	2198.41	4318.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
Inositol phosphate metabolism	3036.16	48974.53	8983.67	57799.81	57534.55	16204.82	10050	14211.53	76994.95	47391.06	40236.3	72119.36	47360.33	31283.76	137561.81	11522.64	32134.05	27274.71	44966.67	37387.94	29356.73	35277.04	11723.27	22300.66	26593.09	10600.37	11.66	5620.97	9395.89	776.75	963.25	11111.43	2333	10611.67	8674.85	3562.84	7759.32	17262.29	15567.4	7874.46	7580.89	42352.62	12343.06	6073.22	6415.36	8962.45	19382.94	4141.68	6863.11	2441.37	338.44	3551.02	14017.7	15680.2	29238.28	19566.08	3198.45	4363.97	2951.17	1983.18	21308.06	3536.64	12793.18	2487.74	28957.64	1027.36	5833.64	3094.42	4121.04	11274.38	1512.03	12211.28	1791.45	20156.6	14333.74	4497.15	21469.63	11185.54	23261.41	6103.66	1445.66	2691.01	74734.34	2478.41	3036.03	1918.3
Insect hormone biosynthesis	1777.16	30445.58	20792.52	52995.52	48376.02	14564.41	3951.82	16174.35	43146.39	45862.6	37402.94	79941.61	51230.73	57915.91	72547.51	10821.4	54298.77	19053.29	38680.17	50251.76	18261.32	28881.84	1152.5	7113.73	15713.17	18617.43	1065.67	27345.5	99120.75	5059	19534.42	17610.79	16365	9217.58	8946.8	11647.16	9193.5	13921.89	28094.64	13817.83	3256.26	15442.97	6698.5	3692.76	3748.63	5938.11	12246.72	6182.47	8774.52	4154.57	476.27	162708.5	6497.09	8657.65	33005.5	80612.08	3108.58	10557.67	1257.23	6087.67	18809	3299.72	8050.17	2387.37	12794.64	7690.99	11953.33	3024.66	4221.99	3523.92	2257.54	12943.01	9282.75	12758.42	743.33	7857.27	12197.35	21653	23358.18	2559.67	3333.33	1649.17	5368.01	3627.25	2578.51	103026.33
